Meisterzählung,D,A,B,C,E,F,G,W,Notizen
301,ſcholt #sov+h wer#lde+n bereit,,,,,,,,
302,vz ſiner heilikeit,,,[…]ner heilike[…],,,,,
303,wand er der magede vater wart,wan er #f13r+ der mægede vat#aer+ wart ,,,,,,,
304,d#siv+ den engelen was ſo zart,div dem engel waz ſo zart,,[…] den engelen […],,,,,
305,daz ſie bi den bl#suo+men,daz ſi bey den pl#suo+men,,,,,,,
306,wolte beliben vn#lde+ r#suo+wen,,,,,,,,
307,,mit ſpile wolden r#suo+ben,,[…] ſpile wolte […],,,,,
308,untze ſie muter wr#lde+,vnz ſi m#suo+t#aer+ wurde,,,,,,,
309,der g#?o+tlichen bûrde,d#aer+ gotlichen burde,,[…] burde,,,,,
310,vnd #sov+h mit eren mæhte ſin,v#and+ auch mit æren ſolde ſin,,vnd […],,,,,
311,des himelriches tûrlin,des himilreiches turlin,,[…]lriches […]#se+r[…],,,,,
312,daz den ubeln m#suo+z geſpart weſen,,,,,,,,
313,den offen die da ſculen geneſen,,,,,,,,
314,an der ſele uon rêinem m#suo+t,,,,,,,,
315,die vin#lde+nt ſi gnadich vnde gut,,,,,,,,
316,,v#and+ div wol gereiniget cham#aer+,,,,,,,
317,,div ger#suo+che vnſ zeſamene ,,[…]erucht vns […],,,,,
318,,fur ir ſun #abri+ngen,,,,,,,
319,,ſi ist all#aer+ æren gimme,,iſt aller kuſheit ein g#aim+me,,,,,
320,#iI+oachim der gotes man,Ioachym d#aer+ goteſ man,,,,,,,
321,eren gnuch er gewan,d#aer+ vil #^æ+ren gewan,,,,,,,
322,in ſiner chintheit,in ſiner chintheit,,,,,,,
323,leid er doh arbeit,lait er arebeit,,[…]t er erweit,,,,,
324,die wile er inivgent was,do er ind#ae+r iugent waz,,,,,,,
325,gerner ſanch vnd las,wie gerne er ſank v#and+ las,,[…]r ſank vnd […],,,,,
326,uon ſinem ſchephf#^æ+re,von ſinem ſchephere,,,,,,,
327,d#siv+ ſtarchen alten mære,die vil ſtarken m#^æ+re,,[…] nuwen me[…],,,,,
328,er #suo+bet sich harte in der ê,#sve+bet er ind#aer+ alten #^æ+,,,,,,,
329,mit uaſten tet er im wê,mit vaſten tet er im wæ,,[…]ſtun tet er […],,,,,
330,ſin menniſlichen brode,menſchliche chrankheit,,,,,,,
331,die #lde+wanger alſo ſchone,,,[…] er alſo ſcho[…],,,,,
332,,er gedultechlichen lait,,,,,,,
333,in einer guten wiſe,in ein#aer+ ſenfte weiſe,,,,,,,
334,er teilet #sov+h ſin spiſe,er tailte ſine ſpeise,,[…]ch ſine ſpiſe,,,,,
335,und alle ſin richeit endr#siv+,v#and+ alle ſine habe endriv,,,,,,,
336,ze himele blikter under d#siv+,zehimel plikte er vnd#aer+ dev,,[…] blikte er vnd#aer+ […],,,,,
337,ein teil gab er den armen,ein teil gab er den armen,,,,,,,
338,die liez er ſih erbarm#aen+,die liez er ſich erbarmen,,[…] er ſich d#aer+bar[…],,,,,
339,bediv witewen v#and+ weiſen,witeben v#and+ waiſen,,,,,,,
340,daz an#lde+r ze gotes huſen,v#and+ ze gotſhouſern,,[…] d#aer+ gotſhuſen,,,,,
341,den ze rate v#and+ ze minne,,,,,,,,
342,die got dien#f7v+ten dar inne,,,,,,,,
343,,,,[…]gen ,,,,,
344,ze dem almuſen was ime ger,z#svo+ dem alm#suo+ſen waz im ger,,zu den #f5v/C4+ almuſen w[…],,,,,
345,daz dritteil behielt er,daz dritail daz behielt er,,,,,,,
346,ze ſin ſelbes tiſche,,,zu ſime ſelb[…],,,,,
347,vnt ſinem hiwiſche,,,,,,,,
348,daz ſi der uon ſpise habeten,daz er die ſpeiſe hete,,[…]ſe hetten ,,,,,
349,die wile daz ſi lebeten,die weile er lebte,,d[…],,,,,
350,die ſpende treib er elliu iare,#rD+ie ſpende begienk er alle iar,,[…] alle iar,,,,,
351,ſwaz er geredet daz was ware,ſwaz er ſp#ara+ch daz waz war,,w[…],,,,,
352,erne wolte niht liegen,,,[…] nicht ligen,,,,,
353,neheinen ſinen genoz betriegen,,,,,,,,
354,ſin ſele luterot er damite,#f13v+ Sin sæle levtert er damit,,[…]le l#sue+teret e[…],,,,,
355,#f8r+ uon ſo heiliclichem ſite,mit ſo heiligem ſit,,,,,,,
356,gab im got ſinen ſegen,gab im got den ſinen ſegen,,gab vn go[…],,,,,
357,himeltov und regen,himel tov v#and+ regen,,[…] regen,,,,,
358,daz ez michel genuht gewan,daz er genuhtſam gewan,,daz […],,,,,
359,ſwaz er buwen began,ſwaz er bowen ie began,,[…] began ,,,,,
360,an ſwiv ſich der herre uerlîe,,,vnd […] sich u#aer+lie ,,,,,
361,mit heil ez fur ſih gîe,v#and+ vaste fur ſich gie ,,v[…],,,,,
362,ν#and+ ergab im ſælicliche,,,,,,,,
363,er was alſo vihe riche,,,[…] was ſin vih[…],,,,,
364,,got v#aer+ læh im vil vihe,,,,,,,
365,daz er chume vant die weide,daz er chovme vant div waide,,,,,,,
366,andem velde ν#and+ an der heide,#sov+f dem velde v#and+ #sov+f d#aer+ heide,,,,,,,
367,,bede hev v#and+ gras,,,,,,,
368,,dez ez notdurftik waz,,[…]tig was,,,,,
369,dem chorter alſo grozen,,,,,,,,
370,zu ime en maht ſih niemen genozeN,,,z[…] mochte ſich […],,,,,
371,,z#svo+ dem het er heil ſo groz,,,,,,,
372,,daz n#sie+man des waz ſin genoz,,,,,,,
373,#iA+ls er zweinzic iar alte wart,#iD+o er zweinzik iar alt wart ,,#iA+ls er wa[…] ,,,,,
374,unt im chume erſpranch #lde+r bart,v#and+ im ch#sov+me enſprank ſin part,,[…]rank ,,,,,
375,erne wolte ſih niht uerboſen,er wol#lde+ ſich ver boſen,,er en[…],,,,,
376,mit deheiner getloſe,mit denheiner getloſen,,[…] getteloſen,,,,,
377,er nam ein k#ain+t ze ſiner ê,er nam ein chint ze sin#aer+ æ,,,,,,,
378,iane wane ich ſit noh #?e+,ich wæn ouch ſeit noch #^æ+,,[…] ſint noch e,,,,,
379,chivſker brût ie wart geborn,chevſer geburt nie wart geborn,,,,,,,
380,die gemahelen het er im erchorn,die er ze mahel het erchorn,,[…]heln hat er […],,,,,
381,uz dauidis geſl#?æ+hte,ovz dauides geslæhte ,,,,,,,
382,daz er damit mæhte,daz er da mitte mohte,,[…] er damite […],,,,,
383,behalten ſele vn#lde+ lip,behalten sel v#and+ leip,,,,,,,
384,alſo ſchône was daz wip,alſo ſchone waz ſin weip,,[…]ne was daz [...],,,,,
385,,daz ir alle die holt waren,,,,,,,
386,daz ir alle die ſi anſahen,die ſey an geſahen,,[…] geſahen,,,,,
387,der eren vnt der ſælden iahen,,,,,,,,
388,v#and+ ſie #sov+vh minnen#lde+ waren,,,,,,,,
389,uon ir tugentlichen gebæren,,,,,,,,
390,ir liebe cherten ſie zu ir,ir genade cherten ſi z#svo+ ir,,ir […],,,,,
391,ane wentliche gire,ane falsche gir,,[…] gir ,,,,,
392,ſi hete reinez leben,ſi het geiſtlich leben,,geiſtlic[…],,,,,
393,v#and+ begun#lde+ groz alm#suo+ſen geben,v#and+ begunde alm#svo+ſen geben,,#f1/C4+ ſi gab[…]n ,,,,,
394,vnd ir opfer vil gereite,vnde ir opher vil bereit,,vnd ir oppher uil gereite ,,,,,
395,in ir ivgent ioh #lde+r chintheite,in ir chintheit,,in irre kintheite ,,,,,
396,mit vil fr#sov+derichen mut,,,,,,,,
397,als der got meinet gerne tvt,,,,,,,,
398,,mit fr#soe+lich#aer+ gebêre,,mit vrolicher geberde ,,,,,
399,,durich ir ſchæpfere,,durch iren ſchepphere ,,,,,
400,ſi chun#lde+ #f8v+ niht geraſten,ſi chunde niht geraſten,,ſi enkonden nicht geraſten ,,,,,
401,von wachen un#lde+ uon vaſten,wachen v#and+ vaſten,,wachen vnd uaſten ,,,,,
402,wan #lde+s pfleget ſie ane maze,,,des phlagen ſi ane maze ,,,,,
403,,chunde ſi ſich niht mazzen,,,,,,,
404,ir guten umbeſæzen,ir g#suo+ten #f14r+ vmbeſæzzen,,ire guten vmmeſazen ,,,,,
405,die lobeten den got,die lobten alle got,,di lobtun den got ,,,,,
406,der himel vnt erde gebot,der himel v#and+ ærde gebot,,der himel vnd erden gebot ,,,,,
407,vnd die mergriezen zelt,v#and+ d#aer+ den mergriez zelt,,vnd den mergriz zelt ,,,,,
408,daz er im die het erwelet,daz er ſey im het erwelt,,daz er im hie het erwelt ,,,,,
409,ze ſine ſelbez eren,,,,,,,,
410,vnt baten an ir gemeren,,,,,,,,
411,,,,zu ſime dinſte ,,,,,
412,,,,ſi baten daz er ſi vriſte ,,,,,
413,ſin lop z#svo+ bezzerunge,wol zepezzerungen,,zu einer bezerung#aen+,,,,,
414,#lde+n alten v#and+ den iungen,den alden v#and+ den iungen,,den altun vnd den iungen ,,,,,
415,daz ſie bildes da bequæmen,,,daz ſi bilde nemen ,,,,,
416,v#and+ die ſuzen lere næ#amen+,,,,,,,,
417,,,,ſo ſi ane ſehen ,,,,,
418,#f9r+ uon uil maniger g#suo+ttæte,,,die manige gut tete ,,,,,
419,die ſie gefrum#&+ hæte,,,di ſi gefrumet hetten ,,,,,
420,wol fr#sov+et ſih do ioachim,#rD+es frevt ſich #rI+oachim,,wol vreute ſich ioachim,,,,,
421,vnd ſin l#sie+biv fr#sou+e mit im,,,,,,,,
422,,ſi tr#suo+gen niht neides vnder in,,ſi trugen nicht nides vnt#aer+ in ,,,,,
423,wan ſie lebeten wnnechliche enſamte,ſi lepten lieplich bedesamp,,ſi lebten wunnenclichen ſamt ,,,,,
424,anna was ſie zerehte genante,div vrowe waz anna genant,,di vrouwe was anna genant ,,,,,
425,an#?na+ daz chivt gracia,anna daz ſp#ari+chet gr#aati+a,,anna daz ſprichet gracia ,,,,,
426,michel gnade div was da,michel genade waz al da,,michele […],,,,,
427,wand uon in der wcher bequam,,,,,,,,
428,#lde+r fr#sov+en euen ſchul#lde+ benam,,,,,,,,
429,vnd ſie die maget ſcolten gebern,,,,,,,,
430,die got ſelbe nien mag ent#^w+ern,,,,,,,,
431,deheiner bete die ſie an in get#?v+t,,,,,,,,
432,nu dingen ir gnaden daz iſt uns g#svo+t,,,,,,,,
433,,wan ſi von ir ſamen,,,,,,,
434,,daz tiwer w#suo+cher namen,,,,,,,
435,,ſi m#suo+ſten die chvniginnen,,,,,,,
436,,geberen v#and+ gewinn#aen+,,,,,,,
437,,div den himel hat entſlozzen,,,,,,,
438,,der alle w#aer+lt hat genozzen,,,,,,,
439,#iD+er fr#sou+en annam gebar,#rD+er die vrowen annam gebar,,,,,,,
440,#lde+r furſte hiez yſachar,der furſte d#aer+ hiez yſachar,,,,,,,
441,ſie was ſiN liebiv tohter,ſi waz ſin liebe,,,,,,,
442,wol uon herzen loben mohter,loben wol moht er,,,,,,,
443,die gotes ordinunge,die gotes orden#aun+ge,,,,,,,
444,daz er ein ſolih kint hete gewnne,,,,,,,,
445,,daz er ir ie begunne,,,,,,,
446,iedoh waren ez chlagelich#siv+ dinch,daz waren chlegeliche dink,,,,,,,
447,daz div frôwe vnt der iungelinch,daz div vrowe vnt der iungelink,,,,,,,
448,zeweinzich iâr enſamet waren,zwainzik iar enſamt waren,,,,,,,
449,daz ſi kindes niht gebaren,daz kinde niht gebaren,,,,,,,
450,daz tet in inneclichen we,daz tet in inrechlichen w#^æ+,,,,,,,
451,wan ſie hete uerfluchet o#siv+ e ,ſi waren v#aer+fluchet in d#aer+ #^æ+,,#f2/C4+ w[…]rn v#aer+uluchet in der e ,,,,,
452,di #zvn+geſegent alſo erſturben,,,,,,,,
453,daz ſi erben niht erwrben,,,,,,,,
454,,die an ir gebur#aden+ ,,di an irre geburte ,,,,,
455,,gesegenet niht enwur#aden+,,geſegent nie wurden ,,,,,
456,Eines tageſ do ſie chamen,#rE+ineſ tage#zs+ do ſi quamen,,eines tages do ſi komen ,,,,,
457,vnd daz gotes wort uern#?a+#amen+,v#and+ daz goteſ wort vernamen,,vnd daz gots wort u#aer+namen ,,,,,
458,indem templo d#aomi+nj,#rI+n t#aem+plo d#aomi+ni,,in templo d#aomi+ni ,,,,,
459,ioachim der ſtunt da bi,#rI+oachym st#suo+nt da bey,,ioachim der ſtunt da bi ,,,,,
460,da ſih die ewarten,da ſich die æwarten,,da ſich di ewarten ,,,,,
461,zudem opher garten,z#svo+ dem #f14v+ opfer garten,,zu dem oppher karten ,,,,,
462,u#and+ nah #f9v+ ir gewonhêite,v#and+ nach ir gewonheiten,,v#and+ nach ir gewonheite ,,[...] wonehaite,,,
463,heten die ſchaf dar fur gereite ,,,di ſchaf da wr gereiten ,,div ſc#zh+af dar fur geriten,,,
464,,do sch#suo+f man dar bereiten,,,,,,,
465,lember vnd d#siv+ roten rinder,lamp v#and+ r#soe+te rinder ,,lamp vnd to[...]e rinder ,,lamp u#and+ div roten rinder,,,
466,ioachim der ſtûnt dar under,#rI+oachim st#suo+nt dar vnder,,ioachim der ſtunt dar under ,,ioachim ſtunt dar under,,,
467,ſam d#siv+ einvalte tube,ſam die ainvalde toube,,als di wandernde tube ,,ſame div ainvalte t#svo+be,,,
468,daz er da ſin uerſume,ſin v#aer+ſoum#aun+ge,,ſine v#aer+ſume ,,ſiner fraſûme ,,,
469,eruolte vnd #sov+h ſiniv leit,,,,,,,,
470,got in dem herzen chleite,,,,,,,,
471,,wold er erfullen,,di wolt er d#aer+uollen ,,die wolte er da ir wllen,,,
472,,v#and+ ſtiften goteſ willen,,ſtiften gotis willen ,,ſtiften goteſ willen,,,
473,er hete opfers gnuch,er het da des opfers gen#suo+k,,er het opphers gnuk ,,er hete opherſ gen#svo+ch,,,
474,daz im ſin hiwiſh dar truch ,daz er dar tr#suo+k ,,daz man im dar getruk ,,daz ime ſin hiweſch dar tr#svo+h,,,
475,daz wolt er da uerbrennen,daz wold er v#aer+brennen,,daz wolte er do v#aer+brenne ,,daz wolte er da verbrennen,,,
476,#lde+n r#sov+ch zehimele ſenden,den rouch ze himel ſenden,,d#aen+ rouch zu himele #dbringe+ ſende ,,den r#sov+ch ze himele ſenden,,,
477,fur d#siv+ gotis #sov+gen,fur die goteſ augen ,,wr di gotis ougen ,,fvr div goteſ #sov+gen,,,
478,grozen habeter gl#sov+ben,groz waz ſin gelauben,,groz was ſin gloube ,,groz waz ſin gel#sov+be,,,
479,do waſ ie #f10r+ nit als #sov+h nv,æz waz do neit als auch nv,,do was er nicht als nv ,,da waſ iê nit alſ och nv,,,
480,ein ſcriba der trat darzu,ein schreib#aer+ ſp#ara+ch da z#svo+,,ein ſcriba ſprach darzu ,,ein ſcriba ſpranc dar z#svo+,,,
481,ruben der ewarte ,#rR+vben d#aer+ æwarte,,rubyn der eruarte,,ruben der ewarte,,,
482,den herren rafſter harte,den herren refſte er harte,,den h#aer+ren […],,den herren rafſter ſtarche,,,
483,und beſtunt in alſo ſere,v#and+ ſtrafte in harte ſer,,,,v#and+ ſt#sov+te in alſo ſere,,,
484,er ſprah dv en ſcolt nien mere,er sp#ara+ch dv ſolt niemer,,,,er ſprah dvne ſcolt niht mere,,,
485,zn unſerem opfer gan,ze vnſerm opfer gan,,,,zv vnſerme opher gan,,,
486,wir haben unſ alle wol enſtan,wir han vnſ alle wol v#aer+ſtan,,,,wir haben unſ alle wole enſtan,,,
487,got hat dih ſo uerfluchet,got hat dich ſo v#aer+fl#suo+chet ,,,,hat dih got ſo verfluchet,,,
488,daz er nien geruchet,daz er niht ger#suo+chet,,,,d#aaz+ er niht en r#sov+chet,,,
489,deheines #^w+chers uon dir,den cheineſ w#suo+chers von dir,,,,en heineſ wcherſ von dir,,,
490,din fræuel miſſeuell#&+ mir,,,,,,,,
491,,din#aer+ frevel iſt ze vil,,,,der diner frauel iſt ſo vil,,,
492,du muſt dich ſvndern hinnen,dv m#suo+ſt dich ſundren hinnen,,,,dv m#svo+ſt dih ſvndern hinnen,,,
493,wir newellen niht gewinnen,wan wir niht gewinnen,,,,wirne wellin niht gewinnen,,,
494,ſuſgetanen geſellen,dich ze einem ſolhen gesellen,,,,ſusgetane geſellen,,,
495,wir megen #sov+h dih ze#lde+n beſten niht gecelleN,,,,,wir ne m#sov+gen #sov+ch dih zv den beſten nicht gezellin,,,
496,,noch wellen da mit div #^æ+ nih#zt+ vellen,,,,,,,
497,#iU+on ſolhen itewizen,#iU+on ſolhen iteweizzen ,,,,#iV+on ſolichem itevize,,,
498,mit ſinen handen wizen,mit ſinen handen weizzen,,,,mit ſinen handin wizen,,,
499,ſwanger alſo t#sov+gen,ſwank er ab ſo tougen,,,,ſwanch er alſo t#sov+gen,,,
500,die zaher uon #lde+n #sov+gen,die trehen von den augen,,,,die zahere von den #sov+gen,,,
501,ez duht in michel ſchande,ez douht #f15r+ in ein michel ſchande,,,,ez duhte in michel ſcande,,,
502,vnt iedoh waſ im niht ſo ande,doch waz im niht ſo ande,,#f4r/C2+ […] ande,,doch ne waz ime nie ſo ande,,,
503,daz er dazſelbe ſchelten,daz er daz ſelbe ſchelten,,daz er dazſelbe ſchelten,,daz er d#aaz+ ſelbe ſcelten,,,
504,mit ubele wolte gelten,mit vbele wol#lde+ gelten,,mit ubele wolte ge[...]ten,,mit #sov+bele wolte gelten,,,
505,erne wolt #sov+h niht mere,,,er enwolte ouch nicht mere,,erne wolte #sov+ch nit mere,,,
506,wider inſin hus cheren,,,wid#aer+ in ſin hus kere,,wider inſin hûſ cheren,,,
507,,da von ſin gank ſin chere,,,,,,,
508,,wart in daz houſ niemere,,,,,,,
509,vn#lde+ wolt sih vor lei#lde+,v#and+ wol#lde+ ſich vor leide ,,vnd wolte ſich vor leide,,v#and+ wolte ſih #dw+vor laide,,,
510,uon ſinem wibe ſcheiden ,von ſinem weibe ſchai#aden+,,von ſime wibe ſch[...]de,,von ſinem wibe ſc#zh+aiden,,,
511,uon ſiner wnneklichen chonen,von sin#aer+ wunnechlichen chonen,,von ſiner wunnenclic#ahen+ cronen,,von ſiner wunneclicher chonen,,,
512,in einer #^w+ſte gedaht er wonen,in ein#aer+ w#sue+ſte wol#lde+ er wonen,,in einer wuſtunge wolte er wonen,,mainer w#suo+ſte wolter wonen,,,
513,hin dan uon #lde+n livten uerre,vonden levten verre,,,,,,,
514,,,,in einer wuſte v#er+re,,inainer w#suo+ſte uerre,,,
515,dar hiez #sov+h im #lde+r herre,dar hiez im ouch d#aer+ h#aer+re,,do [...] ouch in der herre,,dar hiez och ime der herre,,,
516,allez ſin chorter triben,al ſin vihe treiben,,alliz ſin vihe dar triben,,al ſin chorter triben,,,
517,alſ er da gert beliben,vn#lde+ wan#lde+ da be leiben,,vnd w[...] da bliben,,u#and+ wolte da beliben,,,
518,des vihe#?w+chers wolt er da leben,#rD+es vihe w#suo+chers wol#lde+ er leben ,,des vihe wuchers wolte er leben,,deſ viheſ wcherſ wolter leben,,,
519,zehenten #avnd+ almuſen geben,zehenden v#and+ almuſen geben,,zehe[...] vnd almuſen geben,,zehenden almuſen geben,,,
520,michels baz denne e,michel paz dan #^æ+,,michels baz danne e,,michel baz danne e,,,
521,uil veſte weſen an ſiner e,vil veſt#aer+ an ſiner #^æ+,,vil u[...] weſen an ſiner e,,vil weſte weſin anſiner e,,,
522,got ſin#aen+ #f10v+ chumber da chunden,,,,,,,,
523,#avnd+ ſin angeſt zallen ſt#suo+nden,,,,,,,,
524,chlagen #sov+h menniſkliche b#?r+ode,,,,,,,,
525,,an nihte v#aer+ſovmen ſich ,,an nichte ſich v#aer+ſumen,,an nihte ſich wr ſumen,,,
526,,mit chleige v#and+ vil chummerlich,,clage[...] vnd k#aum+meren,,clagen u#and+ ch#^m+eren,,,
527,in der wilden einode,wol#lde+ er ſein ind#aer+ einode,,,,inder einode,,,
528,,mit menſchlich#aer+ blode,,in d#aer+ menſclichen brod,,menneclicher br#sov+de,,,
529,daz du werlt anders niht eniſt,,,daz di w[...] anders nicht eniſt,,d#aaz+ div werlt niht anderſ iſt,,,
530,wan ſtuppe v#and+ miſt,,,wanne geſtuppe vnd mist,,wan ſtuppe u#and+ miſt,,,
531,unt ein schate #lde+r gar uerſwindet,,,[...] ein ſchade der gar v#aer+windet,,u#and+ ein ſcahte der gar verſwindet,,,
532,ſo ſih di#siv+ ſele enbindet,,,ſo ſich di ſele enpi[...],,ſo ſih div ſele enbindet,,,
533,uon menneſklicher zarge,,,von menſchelicher zarge,,von menneſchlcher zarge,,,
534,ſo zergat #sov+h elliv fr#sov+#lde+ mit arge ,,,ſo zergent ouch alle [...]owen mit arge,,fo zer get och ælliv fr#sov+de mir arge,,,
535,#avnd+ elliv werltliebe da gelit,,,,,,,,
536,ſo daz leben den lip begit,,,,,,,,
537,#f11r+ #iA+ls fr#sov+e anna daz ervant,#rA+ls vrowe anna daz v#aer+nam,,#iA+#rl+s vrouwe anna daz v#aer+nam,,#iA+lſe frowe anna d#aaz+ ver nam,,,
538,daz ioach#aim+ #lde+r ir man genant,daz #rI+oachim der ir man,,daz ioachim ir m[...],,daz ioachim der ir man,,,
539,ſo ſere was geleidigot,ſo ſere waz geleidegot,,ſo sere was gelei#zdi+got,,ſo ſere waz gelaidegot,,,
540,do ware ir lieber der tot,ſi were geweſen lieber tot,,do wer ir liber d#aer+ to#zt+,,do ware ir liber der tot,,,
541,daz uil wnnecliche wip,daz vil minnechliche weip,,daz vil w#aun+nencliche wip,,#f2v+ daz vil wnnecliche wip,,,
542,harte cholte ſie den lip,harte quelte ſi ir leip,,herte hilt ſi den lip,,harte chelte ſie ir lip,,,
543,daz er ir hete entwichen,daz er ir wol#lde+ geſweichen,,daz er i[...] het entwichen,,d#aaz+ er ir hete eintwichen,,,
544,des was ir chlage michel,,,daz was ir clage michel,,dez waz ir clage michel,,,
545,,daz chlagte ſi h#aer+zechlichen,,,,,,,
546,vnt ſo uerre hin was geuarn,,,vnd ſo [...]re was geuarn,,v#and+ ſo verre vaz gevaren,,,
547,ſie entruwot niht bewarn,,,ſi tr#suo+t nicht bewarn,,ſine tr#svo+wete niht bewaren,,,
548,ir hiwiſh dahêime,,,ir hiw[...] daheime,,ir hiwiſch da haime,,,
549,darumbe ſaz ſi mit leide,,,darume was ir vil leide,,dar vmbe waz ir laide,,,
550,#avnd+ weinet herzecliche ,,,,,,,,
551,daz ſie got ſo chumberriche,,,,,,,,
552,hete gescaffen vnde geſat,,,,,,,,
553,ander unſæligen ſtat,,,,,,,,
554,daz ſie bi ſo reinem man,,,,,,,,
555,nie herzeliep mit kinde gewan, ,,,,,,,
556,vnt dazu bi im lebentigen,,,,,,,,
557,daz ſi witewe ſolt geligen,,,,,,,,
558,daz waren ſorgen ungefûge,,,,,,,,
559,die nehein lip ſamfte truge,,,,,,,,
560,,daz ſi ouf der ærden,,daz ſi uffe der erden,,daz ſi vf der erde,,,
561,,witebe solde werden,,ſcholte witebe w#aer+den,,witewe ſcolte werden,,,
562,,bey lebindegem manne,,bi lebendingem man,,bilebendigem manne,,,
563,do muſe erbleichen danne,ſi m#sue+ſte erblaichen danne,,ſi muſte erbleichen dan,,ſie m#svo+ze ir bleichen danne,,,
564,div ſchone #avnd+ div gute fr#sov+e anne,,,,,,,,
565,ir lieht#siv+ varwe uerdarp,ir ſch#soe+ne wart ver terbet,,ir ſchone wart v#aer+derbe[...],,ir ſcone wart verderbit,,,
566,al ir fr#sov+de erſtarp,#f15v+ #ra+lle ir frevde erſterbet,,#f4v/C2+ alle ir vreude wart d#aer+ſchrecket,,elliv ir fr#sov+de wart irſterbit,,,
567,ir hen#lde+ hub ſie hinz im genôte,,,,,,,,
568,der uns daz leben gebot,,,,,,,,
569,,,,ir iam#aer+ wart d#aer+weket,,,,,
570,,ir hen#lde+ h#suo+b ſi ſchone,,di hende hup ſi hohe,,#rD+ie hende h#sov+p ſie hohe,,,
571,,z#svo+ d#aer+ pfalzen frone,,gein der phabize vrone,,gegen der phalnze frone,,,
572,,zv dem himelriche,,gein [...]m himelriche,,gegen dem himelriche,,,
573,ſi ſprah vil chlageliche,ſi ſp#ara+ch vil chlegelich ,,ſi ſprach vil tugentliche,,ſi ſprah #dw+vil clagelig#?zch+e,,,
574,owi got #lde+r gnadige #avnd+ #lde+r riche,,,,,,,,
575,,awe gewalteger got,,ouwe du gewaltig#aer+ got,,owi gewaltiger got,,,
576,,min vil inrechliche not,,mine vil innencliche not,,mine vil inneclichen not,,,
577,du ruche mih arme bedenchen,ger#suo+che dv bedenken,,geruche zubekennen,,r#svo+che dv bedenken,,,
578,iane mag ich niht gewenchen,ich mak dir niht gewenken,,io enmak ich nicht gewenken,,ione ma#zc+h ih niht gewenken,,,
579,ihen muze liden ſwaz du wil ,ich m#suo+z leiden ſwaz du wil,,[...]h m#sue+z liden waz du wilt,,ih ne m#suo+ze liden ſwaz dv wil,,,
580,ia han ich angeſte vil,ia han ich angeſt alzevil,,io hab ich angſt uil,,ia han ih angeſte vil,,,
581,wâ mæh#?t+ ich reſte vin#lde+n,waz frevden mag ich vinden ,,[...] mocht ich raſte vinden,,wa maht ih reſte vinden,,,
582,do du mir an den kin#lde+n,do dv mir anden kinden,,do du mir anden kinden,,do du mir an den kindin,,,
